 format: day,hour,value location:53_38 Start : 20200501 
 1, 0000, 24.000000 
 1, 0100, 29.000000 
 1, 0200, 21.000000 
 1, 0300, 24.000000 
 1, 0400, 38.000000 
 1, 0500, 37.000000 
 1, 0600, 64.000000 
 1, 0700, 35.000000 
 1, 0800, 44.000000 
 1, 0900, 348.000000 
 1, 1000, 310.000000 
 1, 1100, 262.000000 
 1, 1200, 288.000000 
 1, 1300, 268.000000 
 1, 1400, 237.000000 
 1, 1500, 16.000000 
 1, 1600, 122.000000 
 1, 1700, 170.000000 
 1, 1800, 141.000000 
 1, 1900, 189.000000 
 1, 2000, 194.000000 
 1, 2100, 320.000000 
 1, 2200, 262.000000 
 1, 2300, 290.000000 
 2, 0000, 11.000000 
 2, 0100, 338.000000 
 2, 0200, 348.000000 
 2, 0300, 302.000000 
 2, 0400, 318.000000 
 2, 0500, 289.000000 
 2, 0600, 3.000000 
 2, 0700, 351.000000 
 2, 0800, 245.000000 
 2, 0900, 267.000000 
 2, 1000, 217.000000 
 2, 1100, 331.000000 
 2, 1200, 335.000000 
 2, 1300, 198.000000 
 2, 1400, 199.000000 
 2, 1500, 197.000000 
 2, 1600, 151.000000 
 2, 1700, 241.000000 
 2, 1800, 57.000000 
 2, 1900, 264.000000 
 2, 2000, 222.000000 
 2, 2100, 185.000000 
 2, 2200, 230.000000 
 2, 2300, 237.000000 
 3, 0000, 235.000000 
 3, 0100, 111.000000 
 3, 0200, 24.000000 
 3, 0300, 27.000000 
 3, 0400, 332.000000 
 3, 0500, 29.000000 
 3, 0600, 57.000000 
 3, 0700, 27.000000 
 3, 0800, 300.000000 
 3, 0900, 292.000000 
 3, 1000, 272.000000 
 3, 1100, 340.000000 
 3, 1200, 258.000000 
 3, 1300, 352.000000 
 3, 1400, 39.000000 
 3, 1500, 238.000000 
 3, 1600, 249.000000 
 3, 1700, 354.000000 
 3, 1800, 217.000000 
 3, 1900, 320.000000 
 3, 2000, 299.000000 
 3, 2100, 263.000000 
 3, 2200, 214.000000 
 3, 2300, 287.000000 
 4, 0000, 259.000000 
 4, 0100, 254.000000 
 4, 0200, 336.000000 
 4, 0300, 290.000000 
 4, 0400, 298.000000 
 4, 0500, 288.000000 
 4, 0600, 283.000000 
 4, 0700, 250.000000 
 4, 0800, 244.000000 
 4, 0900, 278.000000 
 4, 1000, 249.000000 
 4, 1100, 286.000000 
 4, 1200, 264.000000 
 4, 1300, 250.000000 
 4, 1400, 255.000000 
 4, 1500, 276.000000 
 4, 1600, 290.000000 
 4, 1700, 47.000000 
 4, 1800, 245.000000 
 4, 1900, 48.000000 
 4, 2000, 157.000000 
 4, 2100, 99.000000 
 4, 2200, 41.000000 
 4, 2300, 45.000000 
 5, 0000, 40.000000 
 5, 0100, 39.000000 
 5, 0200, 27.000000 
 5, 0300, 330.000000 
 5, 0400, 274.000000 
 5, 0500, 328.000000 
 5, 0600, 47.000000 
 5, 0700, 57.000000 
 5, 0800, 63.000000 
 5, 0900, 59.000000 
 5, 1000, 66.000000 
 5, 1100, 84.000000 
 5, 1200, 85.000000 
 5, 1300, 244.000000 
 5, 1400, 215.000000 
 5, 1500, 300.000000 
 5, 1600, 244.000000 
 5, 1700, 75.000000 
 5, 1800, 48.000000 
 5, 1900, 64.000000 
 5, 2000, 46.000000 
 5, 2100, 58.000000 
 5, 2200, 90.000000 
 5, 2300, 102.000000 
 6, 0000, 44.000000 
 6, 0100, 50.000000 
 6, 0200, 43.000000 
 6, 0300, 46.000000 
 6, 0400, 77.000000 
 6, 0500, 92.000000 
 6, 0600, 77.000000 
 6, 0700, 51.000000 
 6, 0800, 97.000000 
 6, 0900, 106.000000 
 6, 1000, 51.000000 
 6, 1100, 62.000000 
 6, 1200, 74.000000 
 6, 1300, 80.000000 
 6, 1400, 76.000000 
 6, 1500, 87.000000 
 6, 1600, 71.000000 
 6, 1700, 78.000000 
 6, 1800, 100.000000 
 6, 1900, 98.000000 
 6, 2000, 91.000000 
 6, 2100, 80.000000 
 6, 2200, 79.000000 
 6, 2300, 80.000000 
 7, 0000, 72.000000 
 7, 0100, 75.000000 
 7, 0200, 78.000000 
 7, 0300, 85.000000 
 7, 0400, 55.000000 
 7, 0500, 56.000000 
 7, 0600, 67.000000 
 7, 0700, 80.000000 
 7, 0800, 81.000000 
 7, 0900, 106.000000 
 7, 1000, 113.000000 
 7, 1100, 95.000000 
 7, 1200, 108.000000 
 7, 1300, 100.000000 
 7, 1400, 93.000000 
 7, 1500, 91.000000 
 7, 1600, 81.000000 
 7, 1700, 80.000000 
 7, 1800, 77.000000 
 7, 1900, 85.000000 
 7, 2000, 84.000000 
 7, 2100, 74.000000 
 7, 2200, 84.000000 
 7, 2300, 97.000000 
 8, 0000, 274.000000 
 8, 0100, 274.000000 
 8, 0200, 316.000000 
 8, 0300, 280.000000 
 8, 0400, 335.000000 
 8, 0500, 30.000000 
 8, 0600, 282.000000 
 8, 0700, 294.000000 
 8, 0800, 217.000000 
 8, 0900, 275.000000 
 8, 1000, 336.000000 
 8, 1100, 200.000000 
 8, 1200, 282.000000 
 8, 1300, 341.000000 
 8, 1400, 340.000000 
 8, 1500, 31.000000 
 8, 1600, 187.000000 
 8, 1700, 87.000000 
 8, 1800, 79.000000 
 8, 1900, 95.000000 
