 format: day,hour,value location:53_38 Start : 20200901 
 1, 0000, 70.000000 
 1, 0100, 69.000000 
 1, 0200, 74.000000 
 1, 0300, 48.000000 
 1, 0400, 52.000000 
 1, 0500, 50.000000 
 1, 0600, 54.000000 
 1, 0700, 60.000000 
 1, 0800, 59.000000 
 1, 0900, 59.000000 
 1, 1000, 40.000000 
 1, 1100, 49.000000 
 1, 1200, 55.000000 
 1, 1300, 68.000000 
 1, 1400, 56.000000 
 1, 1500, 54.000000 
 1, 1600, 53.000000 
 1, 1700, 58.000000 
 1, 1800, 62.000000 
 1, 1900, 65.000000 
 1, 2000, 57.000000 
 1, 2100, 55.000000 
 1, 2200, 59.000000 
 1, 2300, 57.000000 
 2, 0000, 40.000000 
 2, 0100, 37.000000 
 2, 0200, 39.000000 
 2, 0300, 34.000000 
 2, 0400, 35.000000 
 2, 0500, 26.000000 
 2, 0600, 22.000000 
 2, 0700, 19.000000 
 2, 0800, 17.000000 
 2, 0900, 10.000000 
 2, 1000, 359.000000 
 2, 1100, 326.000000 
 2, 1200, 318.000000 
 2, 1300, 352.000000 
 2, 1400, 301.000000 
 2, 1500, 286.000000 
 2, 1600, 277.000000 
 2, 1700, 265.000000 
 2, 1800, 259.000000 
 2, 1900, 265.000000 
 2, 2000, 251.000000 
 2, 2100, 255.000000 
 2, 2200, 257.000000 
 2, 2300, 250.000000 
 3, 0000, 264.000000 
 3, 0100, 256.000000 
 3, 0200, 256.000000 
 3, 0300, 265.000000 
 3, 0400, 266.000000 
 3, 0500, 264.000000 
 3, 0600, 265.000000 
 3, 0700, 275.000000 
 3, 0800, 267.000000 
 3, 0900, 245.000000 
 3, 1000, 197.000000 
 3, 1100, 188.000000 
 3, 1200, 205.000000 
 3, 1300, 203.000000 
 3, 1400, 215.000000 
 3, 1500, 215.000000 
 3, 1600, 203.000000 
 3, 1700, 199.000000 
 3, 1800, 180.000000 
 3, 1900, 165.000000 
 3, 2000, 164.000000 
 3, 2100, 165.000000 
 3, 2200, 180.000000 
 3, 2300, 11.000000 
 4, 0000, 4.000000 
 4, 0100, 350.000000 
 4, 0200, 337.000000 
 4, 0300, 351.000000 
 4, 0400, 303.000000 
 4, 0500, 298.000000 
 4, 0600, 312.000000 
 4, 0700, 351.000000 
 4, 0800, 275.000000 
 4, 0900, 252.000000 
 4, 1000, 296.000000 
 4, 1100, 197.000000 
 4, 1200, 191.000000 
 4, 1300, 182.000000 
 4, 1400, 179.000000 
 4, 1500, 189.000000 
 4, 1600, 195.000000 
 4, 1700, 168.000000 
 4, 1800, 174.000000 
 4, 1900, 121.000000 
 4, 2000, 137.000000 
 4, 2100, 184.000000 
 4, 2200, 98.000000 
 4, 2300, 113.000000 
 5, 0000, 104.000000 
 5, 0100, 107.000000 
 5, 0200, 133.000000 
 5, 0300, 88.000000 
 5, 0400, 95.000000 
 5, 0500, 106.000000 
 5, 0600, 118.000000 
 5, 0700, 87.000000 
 5, 0800, 114.000000 
 5, 0900, 74.000000 
 5, 1000, 359.000000 
 5, 1100, 79.000000 
 5, 1200, 107.000000 
 5, 1300, 75.000000 
 5, 1400, 84.000000 
 5, 1500, 102.000000 
 5, 1600, 93.000000 
 5, 1700, 93.000000 
 5, 1800, 84.000000 
 5, 1900, 93.000000 
 5, 2000, 88.000000 
 5, 2100, 101.000000 
 5, 2200, 60.000000 
 5, 2300, 23.000000 
 6, 0000, 26.000000 
 6, 0100, 36.000000 
 6, 0200, 29.000000 
 6, 0300, 35.000000 
 6, 0400, 27.000000 
 6, 0500, 29.000000 
 6, 0600, 28.000000 
 6, 0700, 26.000000 
 6, 0800, 24.000000 
 6, 0900, 18.000000 
 6, 1000, 17.000000 
 6, 1100, 4.000000 
 6, 1200, 1.000000 
 6, 1300, 345.000000 
 6, 1400, 5.000000 
 6, 1500, 5.000000 
 6, 1600, 352.000000 
 6, 1700, 324.000000 
 6, 1800, 313.000000 
 6, 1900, 319.000000 
 6, 2000, 311.000000 
 6, 2100, 305.000000 
 6, 2200, 287.000000 
 6, 2300, 280.000000 
 7, 0000, 267.000000 
 7, 0100, 273.000000 
 7, 0200, 270.000000 
 7, 0300, 254.000000 
 7, 0400, 260.000000 
 7, 0500, 254.000000 
 7, 0600, 250.000000 
 7, 0700, 249.000000 
 7, 0800, 246.000000 
 7, 0900, 232.000000 
 7, 1000, 234.000000 
 7, 1100, 228.000000 
 7, 1200, 228.000000 
 7, 1300, 221.000000 
 7, 1400, 217.000000 
 7, 1500, 207.000000 
 7, 1600, 263.000000 
 7, 1700, 268.000000 
 7, 1800, 249.000000 
 7, 1900, 240.000000 
 7, 2000, 235.000000 
 7, 2100, 226.000000 
 7, 2200, 240.000000 
 7, 2300, 237.000000 
 8, 0000, 29.000000 
 8, 0100, 35.000000 
 8, 0200, 88.000000 
 8, 0300, 43.000000 
 8, 0400, 42.000000 
 8, 0500, 55.000000 
 8, 0600, 85.000000 
 8, 0700, 57.000000 
 8, 0800, 113.000000 
 8, 0900, 125.000000 
 8, 1000, 251.000000 
 8, 1100, 259.000000 
 8, 1200, 179.000000 
 8, 1300, 265.000000 
 8, 1400, 235.000000 
 8, 1500, 230.000000 
 8, 1600, 215.000000 
 8, 1700, 235.000000 
 8, 1800, 223.000000 
 8, 1900, 218.000000 
 8, 2000, 225.000000 
 8, 2100, 247.000000 
 8, 2200, 232.000000 
 8, 2300, 124.000000 
 9, 0000, 15.000000 
 9, 0100, 293.000000 
 9, 0200, 301.000000 
 9, 0300, 271.000000 
 9, 0400, 311.000000 
 9, 0500, 23.000000 
 9, 0600, 61.000000 
 9, 0700, 50.000000 
 9, 0800, 69.000000 
 9, 0900, 148.000000 
 9, 1000, 159.000000 
 9, 1100, 285.000000 
 9, 1200, 245.000000 
 9, 1300, 249.000000 
 9, 1400, 200.000000 
 9, 1500, 225.000000 
 9, 1600, 248.000000 
 9, 1700, 248.000000 
 9, 1800, 251.000000 
 9, 1900, 276.000000 
 9, 2000, 232.000000 
 9, 2100, 146.000000 
 9, 2200, 246.000000 
 9, 2300, 28.000000 
 10, 0000, 22.000000 
 10, 0100, 13.000000 
 10, 0200, 30.000000 
 10, 0300, 29.000000 
 10, 0400, 42.000000 
 10, 0500, 22.000000 
 10, 0600, 28.000000 
 10, 0700, 24.000000 
 10, 0800, 94.000000 
 10, 0900, 75.000000 
 10, 1000, 173.000000 
 10, 1100, 225.000000 
 10, 1200, 207.000000 
 10, 1300, 190.000000 
 10, 1400, 176.000000 
 10, 1500, 194.000000 
 10, 1600, 196.000000 
 10, 1700, 168.000000 
