 format: day,hour,value location:53_38 Start : 20200201 
 1, 0000, 61.000000 
 1, 0100, 57.000000 
 1, 0200, 57.000000 
 1, 0300, 56.000000 
 1, 0400, 56.000000 
 1, 0500, 52.000000 
 1, 0600, 54.000000 
 1, 0700, 53.000000 
 1, 0800, 55.000000 
 1, 0900, 56.000000 
 1, 1000, 56.000000 
 1, 1100, 57.000000 
 1, 1200, 56.000000 
 1, 1300, 61.000000 
 1, 1400, 58.000000 
 1, 1500, 56.000000 
 1, 1600, 54.000000 
 1, 1700, 61.000000 
 1, 1800, 63.000000 
 1, 1900, 64.000000 
 1, 2000, 67.000000 
 1, 2100, 67.000000 
 1, 2200, 68.000000 
 1, 2300, 65.000000 
 2, 0000, 62.000000 
 2, 0100, 58.000000 
 2, 0200, 55.000000 
 2, 0300, 54.000000 
 2, 0400, 51.000000 
 2, 0500, 55.000000 
 2, 0600, 56.000000 
 2, 0700, 60.000000 
 2, 0800, 61.000000 
 2, 0900, 62.000000 
 2, 1000, 65.000000 
 2, 1100, 67.000000 
 2, 1200, 66.000000 
 2, 1300, 69.000000 
 2, 1400, 70.000000 
 2, 1500, 71.000000 
 2, 1600, 71.000000 
 2, 1700, 71.000000 
 2, 1800, 72.000000 
 2, 1900, 70.000000 
 2, 2000, 66.000000 
 2, 2100, 62.000000 
 2, 2200, 65.000000 
 2, 2300, 64.000000 
 3, 0000, 71.000000 
 3, 0100, 67.000000 
 3, 0200, 66.000000 
 3, 0300, 70.000000 
 3, 0400, 70.000000 
 3, 0500, 65.000000 
 3, 0600, 55.000000 
 3, 0700, 57.000000 
 3, 0800, 57.000000 
 3, 0900, 60.000000 
 3, 1000, 59.000000 
 3, 1100, 60.000000 
 3, 1200, 62.000000 
 3, 1300, 63.000000 
 3, 1400, 63.000000 
 3, 1500, 68.000000 
 3, 1600, 70.000000 
 3, 1700, 69.000000 
 3, 1800, 70.000000 
 3, 1900, 70.000000 
 3, 2000, 69.000000 
 3, 2100, 72.000000 
 3, 2200, 69.000000 
 3, 2300, 66.000000 
 4, 0000, 60.000000 
 4, 0100, 64.000000 
 4, 0200, 59.000000 
 4, 0300, 58.000000 
 4, 0400, 56.000000 
 4, 0500, 55.000000 
 4, 0600, 51.000000 
 4, 0700, 50.000000 
 4, 0800, 56.000000 
 4, 0900, 58.000000 
 4, 1000, 57.000000 
 4, 1100, 55.000000 
 4, 1200, 55.000000 
 4, 1300, 56.000000 
 4, 1400, 55.000000 
 4, 1500, 57.000000 
 4, 1600, 59.000000 
 4, 1700, 64.000000 
 4, 1800, 84.000000 
 4, 1900, 79.000000 
 4, 2000, 74.000000 
 4, 2100, 71.000000 
