 format: day,hour,value location:53_38 Start : 20210601 
 1, 0000, 257.000000 
 1, 0100, 20.000000 
 1, 0200, 38.000000 
 1, 0300, 40.000000 
 1, 0400, 37.000000 
 1, 0500, 357.000000 
 1, 0600, 15.000000 
 1, 0700, 31.000000 
 1, 0800, 35.000000 
 1, 0900, 22.000000 
 1, 1000, 211.000000 
 1, 1100, 5.000000 
 1, 1200, 276.000000 
 1, 1300, 271.000000 
 1, 1400, 231.000000 
 1, 1500, 235.000000 
 1, 1600, 219.000000 
 1, 1700, 258.000000 
 1, 1800, 189.000000 
 1, 1900, 257.000000 
 1, 2000, 171.000000 
 1, 2100, 228.000000 
 1, 2200, 342.000000 
 1, 2300, 344.000000 
 2, 0000, 130.000000 
 2, 0100, 104.000000 
 2, 0200, 212.000000 
 2, 0300, 283.000000 
 2, 0400, 87.000000 
 2, 0500, 124.000000 
 2, 0600, 128.000000 
 2, 0700, 155.000000 
 2, 0800, 205.000000 
 2, 0900, 106.000000 
 2, 1000, 130.000000 
 2, 1100, 226.000000 
 2, 1200, 269.000000 
 2, 1300, 175.000000 
 2, 1400, 184.000000 
 2, 1500, 227.000000 
 2, 1600, 197.000000 
 2, 1700, 222.000000 
 2, 1800, 330.000000 
 2, 1900, 210.000000 
 2, 2000, 271.000000 
 2, 2100, 125.000000 
 2, 2200, 91.000000 
 2, 2300, 112.000000 
 3, 0000, 245.000000 
 3, 0100, 166.000000 
 3, 0200, 268.000000 
 3, 0300, 308.000000 
 3, 0400, 274.000000 
 3, 0500, 260.000000 
 3, 0600, 247.000000 
 3, 0700, 281.000000 
 3, 0800, 273.000000 
 3, 0900, 277.000000 
 3, 1000, 244.000000 
 3, 1100, 267.000000 
 3, 1200, 257.000000 
 3, 1300, 242.000000 
 3, 1400, 267.000000 
 3, 1500, 240.000000 
 3, 1600, 263.000000 
 3, 1700, 268.000000 
 3, 1800, 250.000000 
 3, 1900, 252.000000 
 3, 2000, 267.000000 
 3, 2100, 319.000000 
 3, 2200, 309.000000 
 3, 2300, 300.000000 
 4, 0000, 309.000000 
 4, 0100, 295.000000 
 4, 0200, 307.000000 
 4, 0300, 307.000000 
 4, 0400, 296.000000 
 4, 0500, 278.000000 
 4, 0600, 287.000000 
 4, 0700, 282.000000 
 4, 0800, 282.000000 
 4, 0900, 268.000000 
 4, 1000, 244.000000 
 4, 1100, 245.000000 
 4, 1200, 252.000000 
 4, 1300, 264.000000 
 4, 1400, 261.000000 
 4, 1500, 245.000000 
 4, 1600, 228.000000 
 4, 1700, 256.000000 
 4, 1800, 224.000000 
 4, 1900, 196.000000 
 4, 2000, 277.000000 
 4, 2100, 249.000000 
 4, 2200, 230.000000 
 4, 2300, 246.000000 
 5, 0000, 248.000000 
 5, 0100, 244.000000 
 5, 0200, 272.000000 
 5, 0300, 279.000000 
 5, 0400, 274.000000 
 5, 0500, 296.000000 
 5, 0600, 286.000000 
 5, 0700, 289.000000 
 5, 0800, 279.000000 
 5, 0900, 283.000000 
 5, 1000, 25.000000 
 5, 1100, 27.000000 
 5, 1200, 29.000000 
 5, 1300, 105.000000 
 5, 1400, 202.000000 
 5, 1500, 259.000000 
 5, 1600, 207.000000 
 5, 1700, 237.000000 
 5, 1800, 181.000000 
 5, 1900, 179.000000 
 5, 2000, 178.000000 
 5, 2100, 11.000000 
 5, 2200, 7.000000 
 5, 2300, 8.000000 
 6, 0000, 18.000000 
 6, 0100, 34.000000 
 6, 0200, 26.000000 
 6, 0300, 37.000000 
 6, 0400, 10.000000 
 6, 0500, 5.000000 
 6, 0600, 21.000000 
 6, 0700, 32.000000 
 6, 0800, 356.000000 
 6, 0900, 318.000000 
 6, 1000, 300.000000 
 6, 1100, 343.000000 
 6, 1200, 42.000000 
 6, 1300, 263.000000 
 6, 1400, 258.000000 
 6, 1500, 247.000000 
 6, 1600, 211.000000 
 6, 1700, 148.000000 
 6, 1800, 166.000000 
 6, 1900, 220.000000 
 6, 2000, 171.000000 
 6, 2100, 95.000000 
 6, 2200, 21.000000 
 6, 2300, 13.000000 
 7, 0000, 326.000000 
 7, 0100, 5.000000 
 7, 0200, 16.000000 
 7, 0300, 23.000000 
 7, 0400, 22.000000 
