 format: day,hour,value location:53_38 Start : 20210401 
 1, 0000, 82.000000 
 1, 0100, 76.000000 
 1, 0200, 70.000000 
 1, 0300, 77.000000 
 1, 0400, 82.000000 
 1, 0500, 84.000000 
 1, 0600, 86.000000 
 1, 0700, 83.000000 
 1, 0800, 73.000000 
 1, 0900, 88.000000 
 1, 1000, 85.000000 
 1, 1100, 92.000000 
 1, 1200, 87.000000 
 1, 1300, 100.000000 
 1, 1400, 94.000000 
 1, 1500, 76.000000 
 1, 1600, 80.000000 
 1, 1700, 79.000000 
 1, 1800, 71.000000 
 1, 1900, 71.000000 
 1, 2000, 76.000000 
 1, 2100, 82.000000 
 1, 2200, 90.000000 
 1, 2300, 92.000000 
 2, 0000, 99.000000 
 2, 0100, 95.000000 
 2, 0200, 92.000000 
 2, 0300, 84.000000 
 2, 0400, 95.000000 
 2, 0500, 100.000000 
 2, 0600, 88.000000 
 2, 0700, 100.000000 
 2, 0800, 80.000000 
 2, 0900, 69.000000 
 2, 1000, 70.000000 
 2, 1100, 92.000000 
 2, 1200, 87.000000 
 2, 1300, 95.000000 
 2, 1400, 75.000000 
 2, 1500, 81.000000 
 2, 1600, 89.000000 
 2, 1700, 86.000000 
 2, 1800, 69.000000 
 2, 1900, 83.000000 
 2, 2000, 67.000000 
 2, 2100, 70.000000 
 2, 2200, 77.000000 
 2, 2300, 93.000000 
 3, 0000, 72.000000 
 3, 0100, 152.000000 
 3, 0200, 253.000000 
 3, 0300, 327.000000 
 3, 0400, 351.000000 
 3, 0500, 19.000000 
 3, 0600, 144.000000 
 3, 0700, 12.000000 
 3, 0800, 276.000000 
 3, 0900, 251.000000 
 3, 1000, 269.000000 
 3, 1100, 247.000000 
 3, 1200, 253.000000 
 3, 1300, 262.000000 
 3, 1400, 253.000000 
 3, 1500, 269.000000 
 3, 1600, 258.000000 
 3, 1700, 256.000000 
 3, 1800, 257.000000 
 3, 1900, 266.000000 
 3, 2000, 264.000000 
 3, 2100, 258.000000 
 3, 2200, 264.000000 
 3, 2300, 289.000000 
 4, 0000, 279.000000 
 4, 0100, 297.000000 
 4, 0200, 284.000000 
 4, 0300, 281.000000 
 4, 0400, 278.000000 
 4, 0500, 311.000000 
 4, 0600, 313.000000 
 4, 0700, 306.000000 
 4, 0800, 308.000000 
 4, 0900, 346.000000 
 4, 1000, 360.000000 
 4, 1100, 2.000000 
 4, 1200, 2.000000 
 4, 1300, 14.000000 
 4, 1400, 21.000000 
 4, 1500, 199.000000 
 4, 1600, 49.000000 
 4, 1700, 106.000000 
