 format: day,hour,value location:53_38 Start : 20210101 
 1, 0000, 323.000000 
 1, 0100, 286.000000 
 1, 0200, 255.000000 
 1, 0300, 303.000000 
 1, 0400, 295.000000 
 1, 0500, 311.000000 
 1, 0600, 313.000000 
 1, 0700, 282.000000 
 1, 0800, 305.000000 
 1, 0900, 297.000000 
 1, 1000, 237.000000 
 1, 1100, 192.000000 
 1, 1200, 293.000000 
 1, 1300, 299.000000 
 1, 1400, 278.000000 
 1, 1500, 266.000000 
 1, 1600, 277.000000 
 1, 1700, 298.000000 
 1, 1800, 277.000000 
 1, 1900, 298.000000 
 1, 2000, 307.000000 
 1, 2100, 299.000000 
 1, 2200, 288.000000 
 1, 2300, 304.000000 
 2, 0000, 269.000000 
 2, 0100, 343.000000 
 2, 0200, 335.000000 
 2, 0300, 346.000000 
 2, 0400, 359.000000 
 2, 0500, 333.000000 
 2, 0600, 315.000000 
 2, 0700, 354.000000 
 2, 0800, 351.000000 
 2, 0900, 357.000000 
 2, 1000, 10.000000 
 2, 1100, 18.000000 
 2, 1200, 26.000000 
 2, 1300, 10.000000 
 2, 1400, 18.000000 
 2, 1500, 13.000000 
 2, 1600, 23.000000 
 2, 1700, 14.000000 
 2, 1800, 15.000000 
 2, 1900, 19.000000 
 2, 2000, 10.000000 
 2, 2100, 15.000000 
 2, 2200, 28.000000 
 2, 2300, 14.000000 
 3, 0000, 23.000000 
 3, 0100, 13.000000 
 3, 0200, 3.000000 
 3, 0300, 348.000000 
 3, 0400, 300.000000 
 3, 0500, 348.000000 
 3, 0600, 338.000000 
 3, 0700, 27.000000 
 3, 0800, 93.000000 
 3, 0900, 29.000000 
 3, 1000, 183.000000 
 3, 1100, 114.000000 
 3, 1200, 178.000000 
 3, 1300, 91.000000 
 3, 1400, 42.000000 
 3, 1500, 57.000000 
 3, 1600, 183.000000 
 3, 1700, 204.000000 
 3, 1800, 156.000000 
 3, 1900, 154.000000 
 3, 2000, 149.000000 
 3, 2100, 163.000000 
 3, 2200, 164.000000 
 3, 2300, 147.000000 
 4, 0000, 89.000000 
 4, 0100, 56.000000 
 4, 0200, 35.000000 
 4, 0300, 37.000000 
 4, 0400, 30.000000 
 4, 0500, 61.000000 
 4, 0600, 88.000000 
 4, 0700, 147.000000 
 4, 0800, 153.000000 
 4, 0900, 167.000000 
 4, 1000, 174.000000 
 4, 1100, 163.000000 
 4, 1200, 163.000000 
 4, 1300, 166.000000 
 4, 1400, 169.000000 
 4, 1500, 175.000000 
 4, 1600, 174.000000 
 4, 1700, 184.000000 
 4, 1800, 340.000000 
 4, 1900, 249.000000 
 4, 2000, 342.000000 
 4, 2100, 4.000000 
 4, 2200, 10.000000 
 4, 2300, 6.000000 
 5, 0000, 3.000000 
 5, 0100, 7.000000 
 5, 0200, 1.000000 
 5, 0300, 357.000000 
 5, 0400, 5.000000 
 5, 0500, 14.000000 
 5, 0600, 12.000000 
 5, 0700, 8.000000 
 5, 0800, 349.000000 
 5, 0900, 348.000000 
 5, 1000, 3.000000 
 5, 1100, 328.000000 
 5, 1200, 335.000000 
 5, 1300, 345.000000 
 5, 1400, 11.000000 
 5, 1500, 334.000000 
 5, 1600, 330.000000 
 5, 1700, 358.000000 
 5, 1800, 333.000000 
 5, 1900, 308.000000 
 5, 2000, 314.000000 
 5, 2100, 313.000000 
 5, 2200, 289.000000 
 5, 2300, 310.000000 
 6, 0000, 306.000000 
 6, 0100, 304.000000 
 6, 0200, 314.000000 
 6, 0300, 311.000000 
 6, 0400, 294.000000 
 6, 0500, 290.000000 
 6, 0600, 297.000000 
 6, 0700, 301.000000 
 6, 0800, 302.000000 
 6, 0900, 294.000000 
 6, 1000, 295.000000 
 6, 1100, 276.000000 
 6, 1200, 284.000000 
 6, 1300, 306.000000 
 6, 1400, 308.000000 
 6, 1500, 303.000000 
 6, 1600, 300.000000 
 6, 1700, 301.000000 
 6, 1800, 308.000000 
 6, 1900, 311.000000 
 6, 2000, 291.000000 
 6, 2100, 307.000000 
 6, 2200, 302.000000 
 6, 2300, 316.000000 
 7, 0000, 335.000000 
 7, 0100, 356.000000 
 7, 0200, 336.000000 
 7, 0300, 321.000000 
 7, 0400, 318.000000 
 7, 0500, 331.000000 
 7, 0600, 327.000000 
 7, 0700, 347.000000 
 7, 0800, 343.000000 
 7, 0900, 332.000000 
 7, 1000, 343.000000 
 7, 1100, 3.000000 
 7, 1200, 304.000000 
 7, 1300, 308.000000 
 7, 1400, 306.000000 
 7, 1500, 316.000000 
 7, 1600, 314.000000 
 7, 1700, 337.000000 
 7, 1800, 311.000000 
 7, 1900, 314.000000 
 7, 2000, 321.000000 
 7, 2100, 305.000000 
 7, 2200, 322.000000 
 7, 2300, 17.000000 
 8, 0000, 342.000000 
 8, 0100, 335.000000 
 8, 0200, 355.000000 
 8, 0300, 310.000000 
 8, 0400, 308.000000 
 8, 0500, 312.000000 
 8, 0600, 307.000000 
 8, 0700, 309.000000 
 8, 0800, 306.000000 
 8, 0900, 318.000000 
 8, 1000, 310.000000 
 8, 1100, 325.000000 
 8, 1200, 326.000000 
 8, 1300, 337.000000 
 8, 1400, 315.000000 
 8, 1500, 347.000000 
 8, 1600, 314.000000 
 8, 1700, 335.000000 
 8, 1800, 315.000000 
 8, 1900, 309.000000 
 8, 2000, 311.000000 
 8, 2100, 296.000000 
 8, 2200, 292.000000 
 8, 2300, 305.000000 
 9, 0000, 313.000000 
 9, 0100, 294.000000 
 9, 0200, 307.000000 
 9, 0300, 308.000000 
 9, 0400, 322.000000 
 9, 0500, 319.000000 
 9, 0600, 323.000000 
 9, 0700, 317.000000 
 9, 0800, 288.000000 
 9, 0900, 316.000000 
 9, 1000, 313.000000 
 9, 1100, 354.000000 
 9, 1200, 351.000000 
 9, 1300, 347.000000 
 9, 1400, 308.000000 
 9, 1500, 338.000000 
 9, 1600, 329.000000 
 9, 1700, 330.000000 
 9, 1800, 342.000000 
 9, 1900, 275.000000 
 9, 2000, 299.000000 
 9, 2100, 289.000000 
 9, 2200, 346.000000 
 9, 2300, 289.000000 
 10, 0000, 296.000000 
 10, 0100, 306.000000 
 10, 0200, 290.000000 
 10, 0300, 302.000000 
 10, 0400, 306.000000 
 10, 0500, 297.000000 
 10, 0600, 296.000000 
 10, 0700, 305.000000 
 10, 0800, 314.000000 
 10, 0900, 313.000000 
 10, 1000, 322.000000 
 10, 1100, 332.000000 
 10, 1200, 350.000000 
 10, 1300, 0.000000 
 10, 1400, 348.000000 
 10, 1500, 345.000000 
 10, 1600, 297.000000 
 10, 1700, 303.000000 
 10, 1800, 298.000000 
 10, 1900, 292.000000 
 10, 2000, 261.000000 
 10, 2100, 26.000000 
 10, 2200, 145.000000 
 10, 2300, 224.000000 
 11, 0000, 164.000000 
 11, 0100, 172.000000 
 11, 0200, 183.000000 
 11, 0300, 237.000000 
 11, 0400, 297.000000 
 11, 0500, 166.000000 
 11, 0600, 173.000000 
 11, 0700, 193.000000 
 11, 0800, 152.000000 
 11, 0900, 159.000000 
 11, 1000, 228.000000 
 11, 1100, 205.000000 
 11, 1200, 207.000000 
 11, 1300, 284.000000 
 11, 1400, 270.000000 
 11, 1500, 289.000000 
 11, 1600, 342.000000 
 11, 1700, 295.000000 
 11, 1800, 307.000000 
 11, 1900, 309.000000 
 11, 2000, 305.000000 
 11, 2100, 296.000000 
 11, 2200, 303.000000 
 11, 2300, 297.000000 
 12, 0000, 307.000000 
 12, 0100, 260.000000 
 12, 0200, 202.000000 
 12, 0300, 240.000000 
 12, 0400, 219.000000 
 12, 0500, 206.000000 
 12, 0600, 208.000000 
 12, 0700, 243.000000 
 12, 0800, 252.000000 
 12, 0900, 219.000000 
 12, 1000, 216.000000 
 12, 1100, 216.000000 
 12, 1200, 214.000000 
 12, 1300, 203.000000 
 12, 1400, 213.000000 
 12, 1500, 218.000000 
 12, 1600, 208.000000 
 12, 1700, 203.000000 
 12, 1800, 207.000000 
 12, 1900, 206.000000 
 12, 2000, 204.000000 
 12, 2100, 205.000000 
 12, 2200, 207.000000 
 12, 2300, 202.000000 
 13, 0000, 235.000000 
 13, 0100, 233.000000 
 13, 0200, 234.000000 
 13, 0300, 239.000000 
 13, 0400, 244.000000 
 13, 0500, 233.000000 
 13, 0600, 241.000000 
 13, 0700, 242.000000 
 13, 0800, 240.000000 
 13, 0900, 235.000000 
