 format: day,hour,value location:53_38 Start : 20201201 
 1, 0000, 312.000000 
 1, 0100, 35.000000 
 1, 0200, 5.000000 
 1, 0300, 27.000000 
 1, 0400, 38.000000 
 1, 0500, 36.000000 
 1, 0600, 23.000000 
 1, 0700, 94.000000 
 1, 0800, 173.000000 
 1, 0900, 195.000000 
 1, 1000, 177.000000 
 1, 1100, 168.000000 
 1, 1200, 172.000000 
 1, 1300, 169.000000 
 1, 1400, 168.000000 
 1, 1500, 174.000000 
 1, 1600, 175.000000 
 1, 1700, 171.000000 
 1, 1800, 170.000000 
 1, 1900, 169.000000 
 1, 2000, 199.000000 
 1, 2100, 168.000000 
 1, 2200, 160.000000 
 1, 2300, 206.000000 
 2, 0000, 229.000000 
 2, 0100, 359.000000 
 2, 0200, 354.000000 
 2, 0300, 14.000000 
 2, 0400, 336.000000 
 2, 0500, 6.000000 
 2, 0600, 347.000000 
 2, 0700, 6.000000 
 2, 0800, 355.000000 
 2, 0900, 2.000000 
 2, 1000, 356.000000 
 2, 1100, 358.000000 
 2, 1200, 12.000000 
 2, 1300, 12.000000 
 2, 1400, 11.000000 
 2, 1500, 190.000000 
 2, 1600, 172.000000 
 2, 1700, 357.000000 
 2, 1800, 303.000000 
 2, 1900, 357.000000 
 2, 2000, 166.000000 
 2, 2100, 158.000000 
 2, 2200, 173.000000 
 2, 2300, 210.000000 
 3, 0000, 17.000000 
 3, 0100, 352.000000 
 3, 0200, 4.000000 
 3, 0300, 358.000000 
 3, 0400, 340.000000 
 3, 0500, 4.000000 
 3, 0600, 4.000000 
 3, 0700, 4.000000 
 3, 0800, 7.000000 
 3, 0900, 5.000000 
 3, 1000, 7.000000 
 3, 1100, 3.000000 
 3, 1200, 339.000000 
 3, 1300, 353.000000 
 3, 1400, 331.000000 
 3, 1500, 2.000000 
 3, 1600, 333.000000 
 3, 1700, 356.000000 
 3, 1800, 336.000000 
 3, 1900, 353.000000 
 3, 2000, 352.000000 
 3, 2100, 8.000000 
 3, 2200, 11.000000 
 3, 2300, 14.000000 
 4, 0000, 13.000000 
 4, 0100, 6.000000 
 4, 0200, 349.000000 
 4, 0300, 342.000000 
 4, 0400, 334.000000 
 4, 0500, 347.000000 
 4, 0600, 344.000000 
 4, 0700, 350.000000 
 4, 0800, 348.000000 
 4, 0900, 355.000000 
 4, 1000, 1.000000 
 4, 1100, 7.000000 
 4, 1200, 6.000000 
 4, 1300, 3.000000 
 4, 1400, 332.000000 
 4, 1500, 328.000000 
 4, 1600, 11.000000 
 4, 1700, 185.000000 
 4, 1800, 222.000000 
 4, 1900, 171.000000 
 4, 2000, 212.000000 
 4, 2100, 9.000000 
 4, 2200, 9.000000 
 4, 2300, 22.000000 
 5, 0000, 9.000000 
 5, 0100, 358.000000 
 5, 0200, 321.000000 
 5, 0300, 10.000000 
 5, 0400, 9.000000 
 5, 0500, 19.000000 
 5, 0600, 354.000000 
 5, 0700, 288.000000 
 5, 0800, 268.000000 
 5, 0900, 205.000000 
 5, 1000, 214.000000 
 5, 1100, 3.000000 
 5, 1200, 357.000000 
 5, 1300, 335.000000 
 5, 1400, 356.000000 
 5, 1500, 357.000000 
 5, 1600, 356.000000 
 5, 1700, 310.000000 
 5, 1800, 171.000000 
 5, 1900, 165.000000 
 5, 2000, 164.000000 
 5, 2100, 167.000000 
 5, 2200, 162.000000 
 5, 2300, 203.000000 
 6, 0000, 32.000000 
 6, 0100, 22.000000 
 6, 0200, 358.000000 
 6, 0300, 5.000000 
 6, 0400, 16.000000 
 6, 0500, 18.000000 
 6, 0600, 323.000000 
 6, 0700, 244.000000 
 6, 0800, 219.000000 
 6, 0900, 180.000000 
 6, 1000, 171.000000 
 6, 1100, 180.000000 
 6, 1200, 187.000000 
 6, 1300, 157.000000 
 6, 1400, 182.000000 
 6, 1500, 192.000000 
 6, 1600, 166.000000 
 6, 1700, 172.000000 
 6, 1800, 174.000000 
 6, 1900, 175.000000 
 6, 2000, 168.000000 
 6, 2100, 170.000000 
 6, 2200, 168.000000 
 6, 2300, 173.000000 
 7, 0000, 172.000000 
 7, 0100, 20.000000 
 7, 0200, 18.000000 
 7, 0300, 357.000000 
 7, 0400, 1.000000 
 7, 0500, 279.000000 
 7, 0600, 268.000000 
 7, 0700, 274.000000 
 7, 0800, 306.000000 
 7, 0900, 355.000000 
 7, 1000, 335.000000 
 7, 1100, 338.000000 
 7, 1200, 15.000000 
 7, 1300, 356.000000 
 7, 1400, 283.000000 
 7, 1500, 13.000000 
 7, 1600, 3.000000 
 7, 1700, 334.000000 
 7, 1800, 351.000000 
 7, 1900, 18.000000 
 7, 2000, 9.000000 
 7, 2100, 7.000000 
 7, 2200, 24.000000 
 7, 2300, 29.000000 
 8, 0000, 23.000000 
 8, 0100, 23.000000 
 8, 0200, 7.000000 
 8, 0300, 19.000000 
 8, 0400, 360.000000 
 8, 0500, 6.000000 
 8, 0600, 265.000000 
 8, 0700, 279.000000 
 8, 0800, 351.000000 
 8, 0900, 349.000000 
 8, 1000, 311.000000 
 8, 1100, 5.000000 
 8, 1200, 339.000000 
 8, 1300, 358.000000 
 8, 1400, 3.000000 
 8, 1500, 351.000000 
 8, 1600, 293.000000 
 8, 1700, 19.000000 
 8, 1800, 331.000000 
 8, 1900, 359.000000 
 8, 2000, 171.000000 
 8, 2100, 170.000000 
 8, 2200, 173.000000 
 8, 2300, 194.000000 
 9, 0000, 87.000000 
 9, 0100, 2.000000 
 9, 0200, 31.000000 
 9, 0300, 24.000000 
 9, 0400, 29.000000 
 9, 0500, 24.000000 
 9, 0600, 24.000000 
 9, 0700, 34.000000 
 9, 0800, 190.000000 
 9, 0900, 181.000000 
 9, 1000, 201.000000 
 9, 1100, 173.000000 
 9, 1200, 221.000000 
 9, 1300, 174.000000 
 9, 1400, 169.000000 
 9, 1500, 177.000000 
 9, 1600, 178.000000 
 9, 1700, 200.000000 
 9, 1800, 213.000000 
 9, 1900, 246.000000 
 9, 2000, 195.000000 
 9, 2100, 218.000000 
 9, 2200, 319.000000 
 9, 2300, 328.000000 
 10, 0000, 337.000000 
 10, 0100, 279.000000 
 10, 0200, 333.000000 
 10, 0300, 298.000000 
 10, 0400, 19.000000 
 10, 0500, 350.000000 
 10, 0600, 6.000000 
