 format: day,hour,value location:53_38 Start : 20200701 
 1, 0000, 291.000000 
 1, 0100, 297.000000 
 1, 0200, 299.000000 
 1, 0300, 285.000000 
 1, 0400, 290.000000 
 1, 0500, 282.000000 
 1, 0600, 295.000000 
 1, 0700, 327.000000 
 1, 0800, 292.000000 
 1, 0900, 268.000000 
 1, 1000, 296.000000 
 1, 1100, 242.000000 
 1, 1200, 197.000000 
 1, 1300, 202.000000 
 1, 1400, 226.000000 
 1, 1500, 186.000000 
 1, 1600, 165.000000 
 1, 1700, 191.000000 
 1, 1800, 161.000000 
 1, 1900, 162.000000 
 1, 2000, 173.000000 
 1, 2100, 282.000000 
 1, 2200, 11.000000 
 1, 2300, 18.000000 
 2, 0000, 24.000000 
 2, 0100, 32.000000 
 2, 0200, 33.000000 
 2, 0300, 34.000000 
 2, 0400, 34.000000 
 2, 0500, 41.000000 
 2, 0600, 46.000000 
 2, 0700, 52.000000 
 2, 0800, 56.000000 
 2, 0900, 217.000000 
 2, 1000, 351.000000 
 2, 1100, 215.000000 
 2, 1200, 330.000000 
 2, 1300, 44.000000 
 2, 1400, 140.000000 
 2, 1500, 51.000000 
 2, 1600, 49.000000 
 2, 1700, 52.000000 
 2, 1800, 65.000000 
 2, 1900, 72.000000 
 2, 2000, 59.000000 
 2, 2100, 49.000000 
 2, 2200, 54.000000 
 2, 2300, 65.000000 
 3, 0000, 45.000000 
 3, 0100, 79.000000 
 3, 0200, 70.000000 
 3, 0300, 80.000000 
 3, 0400, 52.000000 
 3, 0500, 101.000000 
 3, 0600, 86.000000 
 3, 0700, 65.000000 
 3, 0800, 81.000000 
 3, 0900, 51.000000 
 3, 1000, 65.000000 
 3, 1100, 66.000000 
 3, 1200, 64.000000 
 3, 1300, 53.000000 
 3, 1400, 68.000000 
 3, 1500, 60.000000 
 3, 1600, 70.000000 
 3, 1700, 77.000000 
 3, 1800, 64.000000 
 3, 1900, 91.000000 
 3, 2000, 63.000000 
 3, 2100, 60.000000 
 3, 2200, 44.000000 
 3, 2300, 73.000000 
 4, 0000, 35.000000 
 4, 0100, 43.000000 
 4, 0200, 42.000000 
 4, 0300, 37.000000 
 4, 0400, 47.000000 
 4, 0500, 39.000000 
 4, 0600, 41.000000 
 4, 0700, 40.000000 
 4, 0800, 42.000000 
 4, 0900, 41.000000 
 4, 1000, 35.000000 
 4, 1100, 36.000000 
 4, 1200, 271.000000 
 4, 1300, 240.000000 
 4, 1400, 286.000000 
 4, 1500, 225.000000 
 4, 1600, 275.000000 
 4, 1700, 16.000000 
 4, 1800, 345.000000 
 4, 1900, 217.000000 
 4, 2000, 265.000000 
 4, 2100, 280.000000 
 4, 2200, 29.000000 
 4, 2300, 23.000000 
 5, 0000, 22.000000 
 5, 0100, 30.000000 
 5, 0200, 349.000000 
 5, 0300, 301.000000 
 5, 0400, 335.000000 
 5, 0500, 286.000000 
 5, 0600, 333.000000 
 5, 0700, 257.000000 
 5, 0800, 270.000000 
 5, 0900, 268.000000 
 5, 1000, 286.000000 
 5, 1100, 20.000000 
 5, 1200, 328.000000 
 5, 1300, 304.000000 
 5, 1400, 338.000000 
 5, 1500, 283.000000 
 5, 1600, 278.000000 
 5, 1700, 233.000000 
 5, 1800, 195.000000 
 5, 1900, 318.000000 
 5, 2000, 69.000000 
 5, 2100, 357.000000 
 5, 2200, 347.000000 
 5, 2300, 37.000000 
 6, 0000, 70.000000 
 6, 0100, 31.000000 
 6, 0200, 223.000000 
 6, 0300, 0.000000 
 6, 0400, 14.000000 
 6, 0500, 13.000000 
 6, 0600, 58.000000 
 6, 0700, 37.000000 
 6, 0800, 16.000000 
 6, 0900, 29.000000 
 6, 1000, 349.000000 
 6, 1100, 336.000000 
 6, 1200, 178.000000 
 6, 1300, 295.000000 
 6, 1400, 277.000000 
 6, 1500, 300.000000 
 6, 1600, 250.000000 
 6, 1700, 193.000000 
 6, 1800, 42.000000 
 6, 1900, 169.000000 
 6, 2000, 160.000000 
 6, 2100, 34.000000 
 6, 2200, 213.000000 
 6, 2300, 25.000000 
 7, 0000, 24.000000 
 7, 0100, 347.000000 
 7, 0200, 82.000000 
 7, 0300, 189.000000 
 7, 0400, 175.000000 
 7, 0500, 29.000000 
 7, 0600, 286.000000 
 7, 0700, 316.000000 
 7, 0800, 270.000000 
 7, 0900, 259.000000 
 7, 1000, 247.000000 
 7, 1100, 275.000000 
 7, 1200, 278.000000 
 7, 1300, 247.000000 
 7, 1400, 249.000000 
 7, 1500, 247.000000 
 7, 1600, 248.000000 
 7, 1700, 271.000000 
 7, 1800, 261.000000 
 7, 1900, 301.000000 
 7, 2000, 280.000000 
 7, 2100, 259.000000 
 7, 2200, 235.000000 
 7, 2300, 329.000000 
 8, 0000, 335.000000 
 8, 0100, 18.000000 
 8, 0200, 5.000000 
 8, 0300, 317.000000 
 8, 0400, 327.000000 
 8, 0500, 321.000000 
 8, 0600, 348.000000 
 8, 0700, 355.000000 
 8, 0800, 27.000000 
 8, 0900, 37.000000 
 8, 1000, 16.000000 
 8, 1100, 250.000000 
 8, 1200, 21.000000 
 8, 1300, 19.000000 
 8, 1400, 273.000000 
 8, 1500, 335.000000 
 8, 1600, 2.000000 
 8, 1700, 222.000000 
 8, 1800, 242.000000 
 8, 1900, 223.000000 
 8, 2000, 239.000000 
 8, 2100, 7.000000 
 8, 2200, 54.000000 
 8, 2300, 44.000000 
 9, 0000, 39.000000 
 9, 0100, 45.000000 
 9, 0200, 40.000000 
 9, 0300, 49.000000 
 9, 0400, 44.000000 
 9, 0500, 47.000000 
 9, 0600, 41.000000 
 9, 0700, 28.000000 
 9, 0800, 349.000000 
 9, 0900, 258.000000 
 9, 1000, 153.000000 
 9, 1100, 35.000000 
 9, 1200, 342.000000 
 9, 1300, 147.000000 
 9, 1400, 5.000000 
 9, 1500, 71.000000 
 9, 1600, 259.000000 
 9, 1700, 26.000000 
 9, 1800, 181.000000 
 9, 1900, 224.000000 
 9, 2000, 273.000000 
 9, 2100, 249.000000 
 9, 2200, 274.000000 
 9, 2300, 229.000000 
 10, 0000, 269.000000 
 10, 0100, 276.000000 
 10, 0200, 273.000000 
 10, 0300, 280.000000 
 10, 0400, 281.000000 
 10, 0500, 281.000000 
 10, 0600, 271.000000 
 10, 0700, 248.000000 
 10, 0800, 276.000000 
 10, 0900, 270.000000 
 10, 1000, 250.000000 
 10, 1100, 268.000000 
 10, 1200, 264.000000 
 10, 1300, 260.000000 
 10, 1400, 264.000000 
 10, 1500, 267.000000 
 10, 1600, 272.000000 
 10, 1700, 261.000000 
 10, 1800, 264.000000 
 10, 1900, 253.000000 
 10, 2000, 263.000000 
 10, 2100, 285.000000 
 10, 2200, 328.000000 
 10, 2300, 329.000000 
 11, 0000, 316.000000 
 11, 0100, 252.000000 
 11, 0200, 4.000000 
 11, 0300, 325.000000 
 11, 0400, 309.000000 
 11, 0500, 303.000000 
 11, 0600, 287.000000 
 11, 0700, 5.000000 
 11, 0800, 287.000000 
 11, 0900, 272.000000 
 11, 1000, 7.000000 
 11, 1100, 255.000000 
 11, 1200, 70.000000 
 11, 1300, 195.000000 
 11, 1400, 309.000000 
 11, 1500, 69.000000 
 11, 1600, 154.000000 
 11, 1700, 73.000000 
 11, 1800, 75.000000 
 11, 1900, 65.000000 
 11, 2000, 65.000000 
 11, 2100, 74.000000 
 11, 2200, 101.000000 
 11, 2300, 86.000000 
 12, 0000, 78.000000 
 12, 0100, 94.000000 
 12, 0200, 96.000000 
 12, 0300, 84.000000 
 12, 0400, 77.000000 
 12, 0500, 71.000000 
 12, 0600, 68.000000 
 12, 0700, 9.000000 
 12, 0800, 303.000000 
 12, 0900, 293.000000 
 12, 1000, 305.000000 
 12, 1100, 264.000000 
 12, 1200, 232.000000 
 12, 1300, 272.000000 
 12, 1400, 29.000000 
 12, 1500, 45.000000 
 12, 1600, 99.000000 
 12, 1700, 187.000000 
 12, 1800, 207.000000 
 12, 1900, 219.000000 
 12, 2000, 211.000000 
 12, 2100, 225.000000 
 12, 2200, 224.000000 
 12, 2300, 235.000000 
 13, 0000, 240.000000 
 13, 0100, 242.000000 
 13, 0200, 231.000000 
 13, 0300, 254.000000 
 13, 0400, 238.000000 
 13, 0500, 251.000000 
 13, 0600, 241.000000 
 13, 0700, 246.000000 
 13, 0800, 245.000000 
 13, 0900, 250.000000 
 13, 1000, 248.000000 
 13, 1100, 243.000000 
 13, 1200, 247.000000 
 13, 1300, 250.000000 
 13, 1400, 248.000000 
 13, 1500, 243.000000 
 13, 1600, 245.000000 
 13, 1700, 247.000000 
 13, 1800, 242.000000 
 13, 1900, 255.000000 
 13, 2000, 259.000000 
 13, 2100, 255.000000 
 13, 2200, 261.000000 
 13, 2300, 269.000000 
 14, 0000, 266.000000 
 14, 0100, 269.000000 
 14, 0200, 278.000000 
 14, 0300, 279.000000 
 14, 0400, 285.000000 
 14, 0500, 279.000000 
 14, 0600, 299.000000 
 14, 0700, 282.000000 
 14, 0800, 279.000000 
 14, 0900, 282.000000 
 14, 1000, 279.000000 
 14, 1100, 278.000000 
 14, 1200, 255.000000 
 14, 1300, 257.000000 
 14, 1400, 254.000000 
 14, 1500, 277.000000 
 14, 1600, 271.000000 
 14, 1700, 262.000000 
 14, 1800, 266.000000 
 14, 1900, 306.000000 
 14, 2000, 295.000000 
 14, 2100, 249.000000 
 14, 2200, 256.000000 
 14, 2300, 286.000000 
 15, 0000, 272.000000 
 15, 0100, 278.000000 
 15, 0200, 283.000000 
 15, 0300, 306.000000 
 15, 0400, 303.000000 
 15, 0500, 296.000000 
 15, 0600, 286.000000 
 15, 0700, 283.000000 
 15, 0800, 288.000000 
 15, 0900, 284.000000 
 15, 1000, 282.000000 
 15, 1100, 273.000000 
 15, 1200, 275.000000 
 15, 1300, 186.000000 
 15, 1400, 206.000000 
 15, 1500, 181.000000 
 15, 1600, 224.000000 
 15, 1700, 181.000000 
 15, 1800, 198.000000 
 15, 1900, 21.000000 
 15, 2000, 21.000000 
 15, 2100, 89.000000 
 15, 2200, 74.000000 
 15, 2300, 37.000000 
 16, 0000, 45.000000 
 16, 0100, 53.000000 
 16, 0200, 47.000000 
 16, 0300, 37.000000 
 16, 0400, 49.000000 
 16, 0500, 50.000000 
 16, 0600, 59.000000 
