 format: day,hour,value location:53_38 Start : 20201101 
 1, 0000, 12.000000 
 1, 0100, 314.000000 
 1, 0200, 314.000000 
 1, 0300, 6.000000 
 1, 0400, 6.000000 
 1, 0500, 8.000000 
 1, 0600, 38.000000 
 1, 0700, 41.000000 
 1, 0800, 3.000000 
 1, 0900, 5.000000 
 1, 1000, 3.000000 
 1, 1100, 5.000000 
 1, 1200, 11.000000 
 1, 1300, 23.000000 
 1, 1400, 4.000000 
 1, 1500, 304.000000 
 1, 1600, 273.000000 
 1, 1700, 233.000000 
 1, 1800, 189.000000 
 1, 1900, 175.000000 
 1, 2000, 180.000000 
 1, 2100, 191.000000 
 1, 2200, 189.000000 
 1, 2300, 215.000000 
 2, 0000, 179.000000 
 2, 0100, 224.000000 
 2, 0200, 229.000000 
 2, 0300, 17.000000 
 2, 0400, 19.000000 
 2, 0500, 360.000000 
 2, 0600, 1.000000 
 2, 0700, 359.000000 
 2, 0800, 345.000000 
 2, 0900, 360.000000 
 2, 1000, 344.000000 
 2, 1100, 359.000000 
 2, 1200, 169.000000 
 2, 1300, 178.000000 
 2, 1400, 176.000000 
 2, 1500, 170.000000 
 2, 1600, 175.000000 
 2, 1700, 215.000000 
 2, 1800, 229.000000 
 2, 1900, 218.000000 
 2, 2000, 293.000000 
 2, 2100, 2.000000 
 2, 2200, 12.000000 
 2, 2300, 10.000000 
 3, 0000, 346.000000 
 3, 0100, 353.000000 
 3, 0200, 333.000000 
 3, 0300, 338.000000 
 3, 0400, 329.000000 
 3, 0500, 3.000000 
 3, 0600, 342.000000 
 3, 0700, 336.000000 
 3, 0800, 1.000000 
 3, 0900, 4.000000 
 3, 1000, 4.000000 
 3, 1100, 329.000000 
 3, 1200, 335.000000 
 3, 1300, 360.000000 
 3, 1400, 360.000000 
 3, 1500, 2.000000 
 3, 1600, 318.000000 
 3, 1700, 326.000000 
 3, 1800, 355.000000 
 3, 1900, 359.000000 
 3, 2000, 338.000000 
 3, 2100, 360.000000 
 3, 2200, 7.000000 
 3, 2300, 356.000000 
 4, 0000, 10.000000 
 4, 0100, 343.000000 
 4, 0200, 322.000000 
 4, 0300, 7.000000 
 4, 0400, 9.000000 
 4, 0500, 329.000000 
 4, 0600, 315.000000 
 4, 0700, 316.000000 
 4, 0800, 257.000000 
 4, 0900, 198.000000 
 4, 1000, 187.000000 
 4, 1100, 185.000000 
 4, 1200, 183.000000 
 4, 1300, 172.000000 
 4, 1400, 176.000000 
 4, 1500, 172.000000 
 4, 1600, 172.000000 
 4, 1700, 172.000000 
